nawil_kerja,kode_uker,nama_bank,nama_bank_cabang
Semarang,6046,"BANK RAKYAT INDONESIA","PT. BRI CABANG SALATIGA - UNIT BOTO"
Surabaya,3644,"BANK RAKYAT INDONESIA","PT. BRI CABANG TUBAN - UNIT MOJOPAHIT"
Makassar,5100,"BANK RAKYAT INDONESIA","PT. BRI CABANG WATAMPONE - UNIT CINNONG"
Pekalongan,5846,"BANK RAKYAT INDONESIA","PT. BRI CABANG BREBES - UNIT LARANGAN"
"Bandar Lampung",7704,"BANK RAKYAT INDONESIA","PT. BRI CABANG  TULANG BAWANG - UNIT SIMPANG PEMATANG II TULANG BAWANG"
Tasikmalaya,4380,"BANK RAKYAT INDONESIA","PT. BRI CABANG SINGAPARNA - UNIT SODONGHILIR"
Tarakan,4597,"BANK RAKYAT INDONESIA","PT. BRI CABANG NUNUKAN - UNIT SUNGAI NYAMUK"
Semarang,6725,"BANK RAKYAT INDONESIA","PT. BRI CABANG KEBUMEN - UNIT KUTOWINANGUN"
Kediri,6592,"BANK RAKYAT INDONESIA","PT. BRI CABANG TULUNGAGUNG - UNIT KAUMAN"
Jambi,5559,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUNGAI PENUH - UNIT MURADI"
Pekalongan,7091,"BANK RAKYAT INDONESIA","PT. BRI CABANG PEMALANG - UNIT PASAR COMAL"
Bandung,7580,"BANK RAKYAT INDONESIA","PT. BRI CABANG BANDUNG SOREANG - UNIT NARINGGUL"
Makassar,3420,"BANK RAKYAT INDONESIA","PT. BRI CABANG WATAMPONE - UNIT WATAMPONE"
Kediri,3640,"BANK RAKYAT INDONESIA","PT. BRI CABANG JOMBANG - UNIT NGORO"
Surabaya,6228,"BANK RAKYAT INDONESIA","PT. BRI CABANG JEMBER - UNIT TANGGUL KULON"
Pekalongan,5875,"BANK RAKYAT INDONESIA","PT. BRI CABANG BUMIAYU - UNIT TARABAN"
Solo,6735,"BANK RAKYAT INDONESIA","PT. BRI CABANG KLATEN - UNIT JUWIRING I"
Pekalongan,3685,"BANK RAKYAT INDONESIA","PT. BRI CABANG BUMIAYU - UNIT KALIERANG"
Solo,6864,"BANK RAKYAT INDONESIA","PT. BRI CABANG SRAGEN - UNIT CELEP"
Semarang,5998,"BANK RAKYAT INDONESIA","PT. BRI CABANG PURWODADI - UNIT KARANGRAYUNG"
Semarang,3739,"BANK RAKYAT INDONESIA","PT. BRI CABANG SEMARANG BRIGJEN SUDIARTO - UNIT KARANGAWEN"
Purwakarta,3776,"BANK RAKYAT INDONESIA","PT. BRI CABANG SUBANG - UNIT BUNIHAYU"
"DKI Jakarta",3242,"BANK RAKYAT INDONESIA","PT. BRI CABANG DAAN MOGOT - UNIT CENGKARENG TIMUR"
Makassar,5104,"BANK RAKYAT INDONESIA","PT. BRI CABANG SINJAI - UNIT LIBURENG"
Pekanbaru,5426,"BANK RAKYAT INDONESIA","PT. BRI CABANG SIAK - UNIT SUNGAI APIT"
